Player ID,Player Name,Team ID,Player Birth Date,Player Age,Player Height,Player Joined,Player Expires,Player Position,Player Foot,Player Agent,Player Value,Player National ID
p-568177,Cole Palmer,c-281,"May 6, 2002",21,189,"Jul 1, 2021","Jun 30, 2026",midfield - Attacking Midfield,left,CAA Base Ltd,15000000.0,n-9565
p-406635,Phil Foden,c-281,"May 28, 2000",22,171,"Jun 30, 2027","Oct 14, 2022",Attack - Left Winger,left,Manchester City,110000000.0,n-3299
p-203460,Jack Grealish,c-281,"Sep 10, 1995",27,180,"Aug 5, 2021","Jun 30, 2027",Attack - Left Winger,right,CAA Stellar,70000000.0,n-3299
p-171424,Riyad Mahrez,c-281,"Feb 21, 1991",32,179,"Jun 30, 2025","Jul 15, 2022",Attack - Right Winger,left,Manchester City,30000000.0,n-3614
p-418560,Erling Haaland,c-281,"Jul 21, 2000",22,195,"Jul 1, 2022","Jun 30, 2027",Attack - Centre-Forward,left,Rafaela Pimenta,170000000.0,n-3440
p-576024,Julian Alvarez,c-281,"Jan 31, 2000",23,Argentina,"Jan 31, 2022","Jun 30, 2028",Attack - Centre-Forward,right,Fernando Hidalgo,50000000.0,n-3437
p-442531,Edouard Mendy,c-631,"Mar 1, 1992",31,194,"Sep 24, 2020","Jun 30, 2025",Goalkeeper,right,LIAN Sports Group,18000000.0,n-3499
p-192279,Kepa Arrizabalaga,c-631,"Oct 3, 1994",28,186,"Aug 8, 2018","Jun 30, 2025",Goalkeeper,right,AC Talent,15000000.0,n-3375
p-656316,Gabriel Slonina,c-631,"May 15, 2004",19,193,"Aug 2, 2022","Jun 30, 2028",Goalkeeper,right,SXI,8000000.0,n-11946
p-116648,Marcus Bettinelli,c-631,"May 24, 1992",31,England,"Jul 28, 2021","Jun 30, 2026",Goalkeeper,right,World in Motion,2000000.0,n-3299
p-475411,Wesley Fofana,c-631,"Dec 17, 2000",22,France,"Aug 31, 2022","Jun 30, 2029",Defender - Centre-Back,right,TTMA,65000000.0,n-9323
p-463603,Benoit Badiashile,c-631,"Mar 26, 2001",22,194,"Jun 30, 2030",adidas,Defender - Centre-Back,left,Chelsea FC,40000000.0,n-9323
p-93128,Kalidou Koulibaly,c-631,"Jun 20, 1991",31,186,"Jul 16, 2022","Jun 30, 2026",Defender - Centre-Back,right,LIAN Sports Group,25000000.0,n-3499
p-346314,Trevoh Chalobah,c-631,"Jul 5, 1999",23,192,"Jul 1, 2021","Jun 30, 2028",Defender - Centre-Back,right,CAA Base Ltd,22000000.0,n-9565
p-29241,Thiago Silva,c-631,"Sep 22, 1984",38,181,"Aug 28, 2020","Jun 30, 2024",Defender - Centre-Back,right,Paulo Tonietto,2500000.0,n-3439
p-284857,Marc Cucurella,c-631,"Jul 22, 1998",24,173,"Aug 5, 2022","Jun 30, 2028",Defender - Left-Back,left,EMG Mundial,40000000.0,n-3375
p-316125,Ben Chilwell,c-631,"Dec 21, 1996",26,180,"Aug 26, 2020","Jun 30, 2027",Defender - Left-Back,left,CAA Stellar,35000000.0,n-3299
p-670858,Lewis Hall,c-631,"Sep 8, 2004",18,England,"Jan 1, 2022","Jun 30, 2025",Defender - Left-Back,left,Wasserman,8000000.0,n-21340
p-472423,Reece James,c-631,"Dec 8, 1999",23,England,"Jul 1, 2019","Jun 30, 2028",Defender - Right-Back,right,Unique Sports Group,70000000.0,n-3299
p-57500,Cesar Azpilicueta,c-631,"Aug 28, 1989",33,178,"Aug 24, 2012","Jun 30, 2024",Defender - Right-Back,right,Relatives,8000000.0,n-3375
p-648195,Enzo Fernandez,c-631,"Jan 17, 2001",22,178,"Jan 31, 2023","Jun 30, 2031",midfield - Defensive Midfield,right,DE 9 FÚTBOL,85000000.0,n-3437
p-225083,Ngolo Kante,c-631,"Mar 29, 1991",32,France,"Jul 16, 2016","Jun 30, 2023",midfield - Defensive Midfield,right,KDS FM,20000000.0,n-3377
p-334526,Denis Zakaria,c-631,"Nov 20, 1996",26,190,"Sep 1, 2022","Jun 30, 2023",midfield - Defensive Midfield,right,HCM Sports ...,20000000.0,n-3384
p-51471,Mateo Kovacic,c-631,"May 6, 1994",29,177,"Jul 1, 2019","Jun 30, 2024",midfield - Central Midfield,right,VPA Sports,40000000.0,n-3556
p-488362,Conor Gallagher,c-631,"Feb 6, 2000",23,England,"Jul 1, 2022","Jun 30, 2025",midfield - Central Midfield,right,Elite Management ...,32000000.0,n-3299
p-202886,Ruben Loftus Cheek,c-631,"Jan 23, 1996",27,191,"Jan 1, 2015","Jun 30, 2024",midfield - Central Midfield,right,CAA Stellar,25000000.0,n-3299
p-659459,Carney Chukwuemeka,c-631,"Oct 20, 2003",19,187,"Jun 30, 2028",,midfield - Central Midfield,right,Chelsea FC,15000000.0,n-22907
p-346483,Mason Mount,c-631,"Jan 10, 1999",24,181,"Jul 1, 2019","Jun 30, 2024",midfield - Attacking Midfield,right,Relatives,65000000.0,n-3299
p-309400,Kai Havertz,c-631,"Jun 11, 1999",23,193,"Sep 4, 2020","Jun 30, 2025",midfield - Attacking Midfield,left,ROOF,60000000.0,n-3262
p-537860,Mykhaylo Mudryk,c-631,"Jan 5, 2001",22,175,"Jan 15, 2023","Jun 30, 2031",Attack - Left Winger,right,ALIK FOOTBALL ...,60000000.0,n-3699
p-134425,Raheem Sterling,c-631,"Dec 8, 1994",28,170,"Jul 13, 2022","Jun 30, 2027",Attack - Left Winger,right,Relatives,60000000.0,n-3299
p-315779,Christian Pulisic,c-631,"Sep 18, 1998",24,177,"Jan 2, 2019","Jun 30, 2024",Attack - Right Winger,right,Relatives,32000000.0,n-3505
p-503987,Noni Madueke,c-631,"Mar 10, 2002",21,182,"Jun 30, 2030",club option 1 year,Attack - Right Winger,left,Chelsea FC,28000000.0,n-9565
p-217111,Hakim Ziyech,c-631,"Mar 19, 1993",30,181,"Jul 1, 2020","Jun 30, 2025",Attack - Right Winger,left,HZ INTERNATIONAL,18000000.0,n-3575
p-462250,Joao Felix,c-631,"Nov 10, 1999",23,181,"Jan 11, 2023","Jun 30, 2023",Attack - Second Striker,right,Gestifute,50000000.0,n-3300
p-571743,Armando Broja,c-631,"Sep 10, 2001",21,Albania,"Jul 1, 2022","Jun 30, 2028",Attack - Centre-Forward,right,FA Sport,30000000.0,n-3561
p-787232,David Datro Fofana,c-631,"Dec 22, 2002",20,Cote d'Ivoire,"Jan 1, 2023","Jun 30, 2029",Attack - Centre-Forward,right,Aneke/PMG,10000000.0,n-34868
p-58864,Pierre Emerick Aubameyang,c-631,"Jun 18, 1989",33,186,"Sep 1, 2022","Jun 30, 2024",Attack - Centre-Forward,right,Premier Sports ...,7000000.0,n-5704
p-427568,Aaron Ramsdale,c-11,"May 14, 1998",25,190,"Aug 20, 2021","Jun 30, 2025",Goalkeeper,right,World in Motion,38000000.0,n-3299
p-425306,Matt Turner,c-11,"Jun 24, 1994",28,191,"Jul 1, 2022","Jun 30, 2025",Goalkeeper,right,Wasserman,5000000.0,n-3505
p-495666,William Saliba,c-11,"Mar 24, 2001",22,192,"Jul 25, 2019","Jun 30, 2024",Defender - Centre-Back,right,ND SPORTS MANAGEMENT,55000000.0,n-3377
p-435338,Gabriel Magalhaes,c-11,"Dec 19, 1997",25,190,"Sep 1, 2020","Jun 30, 2027",Defender - Centre-Back,left,Bertolucci Sports,50000000.0,n-3439
p-425918,Jakub Kiwior,c-11,"Feb 15, 2000",23,189,"Jan 23, 2023","Jun 30, 2028",Defender - Centre-Back,left,FairSport,20000000.0,n-3442
p-253341,Rob Holding,c-11,"Sep 20, 1995",27,189,"Jul 22, 2016","Jun 30, 2024",Defender - Centre-Back,right,CAA Stellar,10000000.0,n-9565
p-203853,Oleksandr Zinchenko,c-11,"Dec 15, 1996",26,175,"Jul 22, 2022","Jun 30, 2026",Defender - Left-Back,left,Anatoliy Patuk,40000000.0,n-3699
p-300716,Kieran Tierney,c-11,"Jun 5, 1997",25,Scotland,"Aug 8, 2019","Jun 30, 2026",Defender - Left-Back,left,CAA Stellar,25000000.0,n-3380
p-335721,Ben White,c-11,"Oct 8, 1997",25,186,"Jun 30, 2026",adidas,Defender - Right-Back,right,Arsenal FC,50000000.0,n-3299
p-331560,Takehiro Tomiyasu,c-11,"Nov 5, 1998",24,188,"Aug 31, 2021","Jun 30, 2025",Defender - Right-Back,right,UDN SPORTS,25000000.0,n-3435
p-230784,Thomas Partey,c-11,"Jun 13, 1993",29,185,"Oct 5, 2020","Jun 30, 2025",midfield - Defensive Midfield,right,JJ SPORT,38000000.0,n-3441
p-102017,Jorginho,c-11,"Dec 20, 1991",31,178,"Jan 31, 2023","Jun 30, 2024",midfield - Defensive Midfield,right,Brezilya Agency,35000000.0,n-3376
p-160438,Mohamed Elneny,c-11,"Jul 11, 1992",30,179,"Jan 14, 2016","Jun 30, 2024",midfield - Defensive Midfield,right,CAA Base Ltd,9000000.0,n-3672
p-111455,Granit Xhaka,c-11,"Sep 27, 1992",30,Switzerland,"Jul 1, 2016","Jun 30, 2024",midfield - Central Midfield,left,Signature - ISCM AG,28000000.0,n-3384
p-316264,Martin Odegaard,c-11,"Dec 17, 1998",24,178,"Aug 20, 2021","Jun 30, 2025",midfield - Attacking Midfield,left,Nordic Sky,80000000.0,n-3440
p-392765,Emile Smith Rowe,c-11,"Jul 28, 2000",22,England,"Aug 1, 2020","Jun 30, 2026",midfield - Attacking Midfield,right,Jordan Wise,38000000.0,n-9565
p-537598,Fabio Vieira,c-11,"May 30, 2000",22,170,"Jul 1, 2022","Jun 30, 2027",midfield - Attacking Midfield,left,Gestifute,27000000.0,n-16374
p-655488,Gabriel Martinelli,c-11,"Jun 18, 2001",21,178,"Jul 2, 2019","Jun 30, 2027",Attack - Left Winger,right,TFM Agency,70000000.0,n-3439
p-144028,Leandro Trossard,c-11,"Dec 4, 1994",28,Belgium,"Jan 20, 2023","Jun 30, 2026",Attack - Left Winger,right,JC ...,30000000.0,n-3382
p-433177,Bukayo Saka,c-11,"Sep 5, 2001",21,England,"Jul 1, 2019","Jun 30, 2027",Attack - Right Winger,left,Elite Project Group ...,110000000.0,n-3299
p-340325,Reiss Nelson,c-11,"Dec 10, 1999",23,175,"Jul 1, 2019","Jun 30, 2023",Attack - Right Winger,right,Relatives,7000000.0,n-9565
p-340324,Eddie Nketiah,c-11,"May 30, 1999",23,175,"Jan 1, 2019","Jun 30, 2027",Attack - Centre-Forward,right,Elite Project Group ...,25000000.0,n-9565
p-105470,Alisson,c-31,"Oct 2, 1992",30,193,"Jul 19, 2018","Jun 30, 2027",Goalkeeper,right,NWS - Neis World ...,45000000.0,n-3439
p-340918,Caoimhin Kelleher,c-31,"Nov 23, 1998",24,188,"Jul 1, 2019","Jun 30, 2026",Goalkeeper,right,CAA Stellar,8000000.0,n-3509
p-71271,Adrian,c-31,"Jan 3, 1987",36,190,"Aug 5, 2019","Jun 30, 2023",Goalkeeper,right,Bahía Internacional,1000000.0,n-3375
p-139208,Virgil Van Dijk,c-31,"Jul 8, 1991",31,Netherlands,"Jan 1, 2018","Jun 30, 2025",Defender - Centre-Back,right,ROOF,45000000.0,n-3379
p-357119,Ibrahima Konate,c-31,"May 25, 1999",24,France,"Jul 1, 2021","Jun 30, 2026",Defender - Centre-Back,right,CAA Stellar,35000000.0,n-3377
p-256178,Joe Gomez,c-31,"May 23, 1997",26,188,"Jul 1, 2015","Jun 30, 2027",Defender - Centre-Back,right,Wasserman,30000000.0,n-3299
p-82105,Joel Matip,c-31,"Aug 8, 1991",31,195,"Jul 1, 2016","Jun 30, 2024",Defender - Centre-Back,right,ASBW Sport Marketing,16000000.0,n-3434
p-371814,Nathaniel Phillips,c-31,"Mar 21, 1997",26,190,"Jul 1, 2019","Jun 30, 2025",Defender - Centre-Back,right,PLG,6000000.0,n-3434
p-503679,Rhys Williams,c-31,"Feb 3, 2001",22,England,"Jul 1, 2020","Jun 30, 2026",Defender - Centre-Back,right,CAA Stellar,3000000.0,n-9565
p-234803,Andrew Robertson,c-31,"Mar 11, 1994",29,178,"Jul 21, 2017","Jun 30, 2026",Defender - Left-Back,left,PLG,48000000.0,n-3380
p-338070,Konstantinos Tsimikas,c-31,"May 12, 1996",27,179,"Aug 10, 2020","Jun 30, 2025",Defender - Left-Back,left,Prosport ...,18000000.0,n-3378
p-314353,Trent Alexander Arnold,c-31,"Oct 7, 1998",24,180,"Jul 1, 2016","Jun 30, 2025",Defender - Right-Back,right,PLG,65000000.0,n-3299
p-633652,Calvin Ramsay,c-31,"Jul 31, 2003",19,177,"Jun 30, 2027",,Defender - Right-Back,right,Liverpool FC,5000000.0,n-3380
p-225693,Fabinho,c-31,"Oct 23, 1993",29,188,"Jul 1, 2018","Jun 30, 2026",midfield - Defensive Midfield,right,Gestifute,45000000.0,n-3439
p-864799,Stefan Bajcetic,c-31,"Oct 22, 2004",18,185,"Jul 1, 2022","Jun 30, 2027",midfield - Defensive Midfield,right,F.J.VILLAVERDE,13000000.0,n-20947
p-60444,Thiago,c-31,"Apr 11, 1991",32,174,"Sep 18, 2020","Jun 30, 2024",midfield - Central Midfield,right,The Player ...,18000000.0,n-3375
p-302215,Naby Keita,c-31,"Feb 10, 1995",28,172,"Jul 1, 2018","Jun 30, 2023",midfield - Central Midfield,right,ROOF,17000000.0,n-3856
p-433188,Curtis Jones,c-31,"Jan 30, 2001",22,England,"Jul 1, 2020","Jun 30, 2027",midfield - Central Midfield,right,Wasserman,17000000.0,n-9565
p-362842,Arthur Melo,c-31,"Aug 12, 1996",26,172,"Sep 1, 2022","Jun 30, 2023",midfield - Central Midfield,right,P&P Sport ...,15000000.0,n-3439
p-61651,Jordan Henderson,c-31,"Jun 17, 1990",32,187,"Jul 1, 2011","Jun 30, 2025",midfield - Central Midfield,right,ROOF,10000000.0,n-3299
p-143424,Alex Oxlade Chamberlain,c-31,"Aug 15, 1993",29,175,"Aug 31, 2017","Jun 30, 2023",midfield - Central Midfield,right,Colossal Sports ...,10000000.0,n-3299
p-3333,James Milner,c-31,"Jan 4, 1986",37,175,"Jun 30, 2023","Jun 6, 2022",midfield - Central Midfield,right,Liverpool FC,2000000.0,n-3299
p-565822,Harvey Elliott,c-31,"Apr 4, 2003",20,170,"Jul 1, 2021","Jun 30, 2027",midfield - Attacking Midfield,left,ROOF,35000000.0,n-9565
p-559263,Fabio Carvalho,c-31,"Aug 30, 2002",20,170,"Jul 1, 2022","Jun 30, 2027",midfield - Attacking Midfield,right,Concilium Sport,20000000.0,n-16374
p-480692,Luis Diaz,c-31,"Jan 13, 1997",26,180,"Jan 30, 2022","Jun 30, 2027",Attack - Left Winger,right,Nomi Sports,75000000.0,n-3816
p-434675,Cody Gakpo,c-31,"May 7, 1999",24,193,"Jan 1, 2023","Jun 30, 2028",Attack - Left Winger,right,SEG,60000000.0,n-3379
p-340950,Diogo Jota,c-31,"Dec 4, 1996",26,178,"Sep 19, 2020","Jun 30, 2027",Attack - Left Winger,right,Gestifute,55000000.0,n-3300
p-546543,Darwin Nunez,c-31,"Jun 24, 1999",23,187,"Jul 1, 2022","Jun 30, 2028",Attack - Centre-Forward,right,Gestifute,70000000.0,n-3449
p-131789,Roberto Firmino,c-31,"Oct 2, 1991",31,181,"Jul 1, 2015","Jun 30, 2023",Attack - Centre-Forward,right,ROGON,22000000.0,n-3439
p-59377,David De Gea,c-985,"Nov 7, 1990",32,189,"Jul 1, 2011","Jun 30, 2023",Goalkeeper,right,Relatives,15000000.0,n-3375
p-128899,Jack Butland,c-985,"Mar 10, 1993",30,England,"Jan 6, 2023","Jun 30, 2023",Goalkeeper,right,Triple S Sports,1500000.0,n-3299
p-34130,Tom Heaton,c-985,"Apr 15, 1986",37,188,"Jul 2, 2021","Jun 30, 2023",Goalkeeper,right,10Ten Football,600000.0,n-3299
p-480762,Lisandro Martinez,c-985,"Jan 18, 1998",25,Argentina,"Jul 27, 2022","Jun 30, 2027",Defender - Centre-Back,left,Score Futbol,50000000.0,n-3437
p-164770,Raphael Varane,c-985,"Apr 25, 1993",30,191,"Aug 14, 2021","Jun 30, 2025",Defender - Centre-Back,right,CAA Base Ltd,40000000.0,n-3377
p-177907,Harry Maguire,c-985,"Mar 5, 1993",30,194,"Aug 5, 2019","Jun 30, 2025",Defender - Centre-Back,right,Triple S Sports,25000000.0,n-3299
p-184573,Victor Lindelof,c-985,"Jul 17, 1994",28,187,"Jul 1, 2017","Jun 30, 2024",Defender - Centre-Back,right,HCM Sports ...,15000000.0,n-3557
p-117996,Phil Jones,c-985,"Feb 21, 1992",31,185,"Jul 1, 2011","Jun 30, 2023",Defender - Centre-Back,right,Wasserman,2000000.0,n-3299
p-548470,Teden Mengi,c-985,"Apr 30, 2002",21,186,"Jul 1, 2020","Jun 30, 2024",Defender - Centre-Back,right,CLOSEVIEW,2000000.0,n-22907
p-183288,Luke Shaw,c-985,"Jul 12, 1995",27,178,"Jul 1, 2014","Jun 30, 2027",Defender - Left-Back,left,CAA Stellar,35000000.0,n-3299
p-339340,Tyrell Malacia,c-985,"Aug 17, 1999",23,169,"Jul 5, 2022","Jun 30, 2026",Defender - Left-Back,left,Relatives,22000000.0,n-3379
p-507700,Brandon Williams,c-985,"Sep 3, 2000",22,180,"Jun 30, 2024",Option for a further year,Defender - Left-Back,right,Manchester United,10000000.0,n-9565
p-357147,Diogo Dalot,c-985,"Mar 18, 1999",24,183,"Jul 1, 2018","Jun 30, 2024",Defender - Right-Back,right,Proeleven S.A.,35000000.0,n-3300
p-477758,Aaron Wan Bissaka,c-985,"Nov 26, 1997",25,England,"Jul 1, 2019","Jun 30, 2024",Defender - Right-Back,right,Unique Sports Group,22000000.0,n-9565
p-315969,Scott Mctominay,c-985,"Dec 8, 1996",26,191,"Jun 30, 2025",club option 1 year,midfield - Defensive Midfield,right,Manchester United,25000000.0,n-3380
p-69633,Christian Eriksen,c-985,"Feb 14, 1992",31,182,"Jul 15, 2022","Jun 30, 2025",midfield - Central Midfield,right,The Talents ...,25000000.0,n-3436
p-106987,Marcel Sabitzer,c-985,"Mar 17, 1994",29,Austria,"Jan 31, 2023","Jun 30, 2023",midfield - Central Midfield,right,ROGON,20000000.0,n-3383
p-191614,Fred,c-985,"Mar 5, 1993",30,169,"Jul 1, 2018","Jun 30, 2024",midfield - Central Midfield,left,Fabio Mello Sports,20000000.0,n-3439
p-288255,Donny Van De Beek,c-985,"Apr 18, 1997",26,Netherlands,"Sep 2, 2020","Jun 30, 2025",midfield - Central Midfield,right,HCM Sports ...,17000000.0,n-3379
p-686845,Zidane Iqbal,c-985,"Apr 27, 2003",20,181,"Jan 1, 2023","Jun 30, 2025",midfield - Central Midfield,right,SEG,800000.0,n-3560
p-820374,Kobbie Mainoo,c-985,"Apr 19, 2005",18,England,"Jan 1, 2023","Jun 30, 2027",midfield - Central Midfield,right,CAA Stellar,800000.0,n-21340
p-240306,Bruno Fernandes,c-985,"Sep 8, 1994",28,179,"Jan 29, 2020","Jun 30, 2026",midfield - Attacking Midfield,right,MRP.POSITIONUMBER,75000000.0,n-3300
p-258923,Marcus Rashford,c-985,"Oct 31, 1997",25,England,"Jan 1, 2016","Jun 30, 2024",Attack - Left Winger,right,Relatives,80000000.0,n-3299
p-401173,Jadon Sancho,c-985,"Mar 25, 2000",23,180,"Jul 23, 2021","Jun 30, 2026",Attack - Left Winger,right,Elite Project Group ...,55000000.0,n-3299
p-583189,Anthony Elanga,c-985,"Apr 27, 2002",21,178,"Jan 1, 2022","Jun 30, 2026",Attack - Left Winger,right,CAA Stellar,25000000.0,n-3557
p-811779,Alejandro Garnacho,c-985,"Jul 1, 2004",18,180,"Jul 1, 2022","Jun 30, 2028",Attack - Left Winger,right,#LEADERS,25000000.0,n-11940
p-602105,Antony,c-985,"Feb 24, 2000",23,172,"Aug 30, 2022","Jun 30, 2027",Attack - Right Winger,left,4ComM,70000000.0,n-3439
p-676318,Facundo Pellistri,c-985,"Dec 20, 2001",21,174,"Oct 5, 2020","Jun 30, 2025",Attack - Right Winger,right,CAA Stellar,3000000.0,n-3449
p-532826,Mason Greenwood,c-985,"Oct 1, 2001",21,181,"Jun 30, 2025",club option 1 year,Attack - Right Winger,both,Manchester United,,n-3299
p-182877,Anthony Martial,c-985,"Dec 5, 1995",27,181,"Sep 1, 2015","Jun 30, 2024",Attack - Centre-Forward,right,USFA Management,15000000.0,n-3377
p-228645,Wout Weghorst,c-985,"Aug 7, 1992",30,197,"Jan 13, 2023","Jun 30, 2023",Attack - Centre-Forward,right,One II Agency,14000000.0,n-3379
p-17965,Hugo Lloris,c-985,"Dec 26, 1986",36,188,"Jun 30, 2024","Jan 21, 2022",Goalkeeper,left,Tottenham Hotspur,4000000.0,n-3377
p-52570,Fraser Forster,c-148,"Mar 17, 1988",35,201,"Jul 1, 2022","Jun 30, 2024",Goalkeeper,right,CAA Stellar,1500000.0,n-3299
p-282823,Alfie Whiteman,c-148,"Oct 2, 1998",24,188,"Jul 1, 2019","Jun 30, 2025",Goalkeeper,right,Remington Ellis ...,500000.0,n-21340
p-428016,Brandon Austin,c-148,"Jan 8, 1999",24,188,"Aug 1, 2021","Jun 30, 2024",Goalkeeper,right,Unique Sports Group,300000.0,n-9565
p-355915,Cristian Romero,c-148,"Apr 27, 1998",25,185,"Aug 30, 2022","Jun 30, 2027",Defender - Centre-Back,right,Ciro Palermo,60000000.0,n-3437
p-175722,Eric Dier,c-148,"Jan 15, 1994",29,188,"Jun 30, 2024","Jul 21, 2020",Defender - Centre-Back,right,Tottenham Hotspur,25000000.0,n-3299
p-341429,Davinson Sanchez,c-148,"Jun 12, 1996",26,187,"Aug 23, 2017","Jun 30, 2024",Defender - Centre-Back,right,Villarreal & Schena,20000000.0,n-3816
p-182904,Clement Lenglet,c-148,"Jun 17, 1995",27,186,"Jul 8, 2022","Jun 30, 2023",Defender - Centre-Back,left,Wasserman,12000000.0,n-3377
p-346478,Japhet Tanganga,c-148,"Mar 31, 1999",24,184,"Jan 1, 2020","Jun 30, 2025",Defender - Centre-Back,right,RDF Football,9000000.0,n-9565
p-192765,Ben Davies,c-148,"Apr 24, 1993",30,181,"Jul 23, 2014","Jun 30, 2025",Defender - Left-Back,left,CAA Stellar,20000000.0,n-3864
p-553875,Pedro Porro,c-148,"Sep 13, 1999",23,173,"Jan 31, 2023","Jun 30, 2023",Defender - Right-Back,right,CAA Base Ltd,35000000.0,n-3375
p-476344,Emerson Royal,c-148,"Jan 14, 1999",24,183,"Jun 30, 2026",,Defender - Right-Back,right,Tottenham Hotspur,25000000.0,n-3439
p-406638,Oliver Skipp,c-148,"Sep 16, 2000",22,175,"Jul 1, 2018","Jun 30, 2027",midfield - Defensive Midfield,right,ARETÉ,15000000.0,n-9565
p-167799,Pierre Emile Hojbjerg,c-148,"Aug 5, 1995",27,185,"Aug 11, 2020","Jun 30, 2025",midfield - Central Midfield,right,Gol International,45000000.0,n-3436
p-354362,Rodrigo Bentancur,c-148,"Jun 25, 1997",25,187,"Jan 31, 2022","Jun 30, 2026",midfield - Central Midfield,right,Back Sports S.A.,40000000.0,n-3449
p-410425,Yves Bissouma,c-148,"Aug 30, 1996",26,Mali,"Jul 1, 2022","Jun 30, 2026",midfield - Central Midfield,right,AMS CONSULTING,25000000.0,n-3674
p-568693,Pape Matar Sarr,c-148,"Sep 14, 2002",20,Senegal,"Jun 30, 2026",,midfield - Central Midfield,right,Tottenham Hotspur,15000000.0,n-3499
p-392775,Ryan Sessegnon,c-148,"May 18, 2000",23,178,"Aug 8, 2019","Jun 30, 2025",midfield - Left Midfield,left,Unique Sports Group,22000000.0,n-9565
p-42460,Ivan Perisic,c-148,"Feb 2, 1989",34,186,"Jun 30, 2024",,midfield - Left Midfield,both,Tottenham Hotspur,10000000.0,n-3556
p-91845,Heung Min Son,c-148,"Jul 8, 1992",30,184,"Aug 28, 2015","Jun 30, 2025",Attack - Left Winger,both,CAA Base Ltd,60000000.0,n-3589
p-355861,Arnaut Danjuma,c-148,"Jan 31, 1997",26,178,"Jan 25, 2023","Jun 30, 2023",Attack - Left Winger,right,Panthera Sports,27000000.0,n-3379
p-431755,Dejan Kulusevski,c-148,"Apr 25, 2000",23,186,"Jan 31, 2022","Jun 30, 2023",Attack - Right Winger,left,World Soccer Agency,55000000.0,n-3557
p-77100,Lucas Moura,c-148,"Aug 13, 1992",30,172,"Jan 31, 2018","Jun 30, 2023",Attack - Right Winger,right,4ComM,9000000.0,n-3439
p-132098,Harry Kane,c-148,"Jul 28, 1993",29,188,"Jan 1, 2011","Jun 30, 2024",Attack - Centre-Forward,right,CK66,90000000.0,n-3299
p-378710,Richarlison,c-148,"May 10, 1997",26,184,"Jul 1, 2022","Jun 30, 2027",Attack - Centre-Forward,right,CAA Base Ltd,55000000.0,n-3439
